Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1616008204.2864141,33,1616008204,283933120,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.2970586,34,1616008204,293943936,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3074515,35,1616008204,304206272,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.317242,36,1616008204,314071680,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3266664,37,1616008204,324002240,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3364272,38,1616008204,335084224,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3463695,39,1616008204,343919872,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.358456,40,1616008204,353961760,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3666673,41,1616008204,363942272,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3780887,42,1616008204,374453024,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3884811,43,1616008204,384073952,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.3970404,44,1616008204,393953024,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4077861,45,1616008204,404002048,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.416191,46,1616008204,413949120,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4259775,47,1616008204,423926816,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4362385,48,1616008204,433987808,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4482353,49,1616008204,444005568,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4567978,50,1616008204,453937376,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.467432,51,1616008204,463926496,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.476426,52,1616008204,473900064,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4864028,53,1616008204,483986272,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.4967167,54,1616008204,494003712,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.5061767,55,1616008204,503922592,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
