Time,seq,stamp.secs,stamp.nsecs,frame_id,can_id,type_col_0,type_col_1,type_col_2,type_col_3,value_0,value_1,value_2,value_3
1612180276.0809715,10910,1612180276,48338050,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.0809906,10914,1612180276,48817463,,158,In_Lat_Rel,,,,-0.4099999964237213,0.0,0.0,0.0
1612180276.0810885,10915,1612180276,48944029,,173,In_VXH,In_VYH,,,0.0,0.0,0.0,0.0
1612180276.0840683,10916,1612180276,49068866,,174,In_VXF,In_VYF,,,0.0,0.0,0.0,0.0
1612180276.0867836,10917,1612180276,49186088,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.1425927,10917,1612180276,49186088,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.1569164,10917,1612180276,49186088,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.1600623,11150,1612180276,128375704,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.1630607,11150,1612180276,128375704,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.1660402,11150,1612180276,128375704,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.17095,11150,1612180276,128375704,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.1745489,11154,1612180276,128851981,,158,In_Lat_Rel,,,,-0.4099999964237213,0.0,0.0,0.0
1612180276.178153,11155,1612180276,128989587,,173,In_VXH,In_VYH,,,0.0,0.0,0.0,0.0
1612180276.181262,11156,1612180276,129112921,,174,In_VXF,In_VYF,,,0.0,0.0,0.0,0.0
1612180276.1850765,11157,1612180276,129230526,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.2240274,11157,1612180276,129230526,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.2544637,11157,1612180276,129230526,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.2612357,11480,1612180276,238355911,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.2612731,11480,1612180276,238355911,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.2640226,11480,1612180276,238355911,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.2670138,11480,1612180276,238355911,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.2714064,11484,1612180276,238834556,,158,In_Lat_Rel,,,,-0.4099999964237213,0.0,0.0,0.0
1612180276.274088,11485,1612180276,238968258,,173,In_VXH,In_VYH,,,0.0,0.0,0.0,0.0
1612180276.2750714,11486,1612180276,239087015,,174,In_VXF,In_VYF,,,0.0,0.0,0.0,0.0
1612180276.2778656,11487,1612180276,239205357,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.32501,11487,1612180276,239205357,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.3537436,11487,1612180276,239205357,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.3587158,11487,1612180276,239205357,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.3630865,11750,1612180276,328459486,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.3671753,11750,1612180276,328459486,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.3705149,11750,1612180276,328459486,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.3734665,11750,1612180276,328459486,,150,GPS_Height,,,,0.0,0.0,0.0,0.0
1612180276.3734822,11754,1612180276,328940756,,158,In_Lat_Rel,,,,-0.4099999964237213,0.0,0.0,0.0
1612180276.3794198,11755,1612180276,329048761,,173,In_VXH,In_VYH,,,0.0,0.0,0.0,0.0
1612180276.3821492,11756,1612180276,329171198,,174,In_VXF,In_VYF,,,0.0,0.0,0.0,0.0
1612180276.38216,11757,1612180276,329291491,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.4237297,11757,1612180276,329291491,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.455822,11757,1612180276,329291491,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.4618654,11757,1612180276,329291491,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.4679291,11757,1612180276,329291491,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.4717023,11942,1612180276,396165742,,103,AXB_HR,,,,0.006599999964237213,0.0,0.0,0.0
1612180276.4748073,11943,1612180276,396274355,,104,AYB_HR,,,,-0.006599999964237213,0.0,0.0,0.0
1612180276.482752,11944,1612180276,396404920,,105,AZB_HR,,,,1.0011999607086182,0.0,0.0,0.0
1612180276.4827998,11944,1612180276,396404920,,105,AZB_HR,,,,1.0011999607086182,0.0,0.0,0.0
1612180276.4830694,11946,1612180276,396644483,,107,RXH,RYH,,,-0.03999999910593033,-0.03999999910593033,0.0,0.0
1612180276.4856505,11946,1612180276,396644483,,107,RXH,RYH,,,-0.03999999910593033,-0.03999999910593033,0.0,0.0
1612180276.4885068,11948,1612180276,396884494,,109,AXH,AYH,,,-0.0007999999797903001,-0.0007999999797903001,0.0,0.0
1612180276.4946806,11948,1612180276,396884494,,109,AXH,AYH,,,-0.0007999999797903001,-0.0007999999797903001,0.0,0.0
1612180276.4965253,11948,1612180276,396884494,,109,AXH,AYH,,,-0.0007999999797903001,-0.0007999999797903001,0.0,0.0
1612180276.4999616,11948,1612180276,396884494,,109,AXH,AYH,,,-0.0007999999797903001,-0.0007999999797903001,0.0,0.0
1612180276.4999807,12174,1612180276,468890141,,158,In_Lat_Rel,,,,-0.4099999964237213,0.0,0.0,0.0
1612180276.5029306,12175,1612180276,468964672,,173,In_VXH,In_VYH,,,0.0,0.0,0.0,0.0
1612180276.5059395,12176,1612180276,469092038,,174,In_VXF,In_VYF,,,0.0,0.0,0.0,0.0
1612180276.5086238,12177,1612180276,469226284,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.5470128,12177,1612180276,469226284,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
1612180276.5752738,12177,1612180276,469226284,,182,In_Stddev_Lat,In_Stddev_Long,,,4.510000228881836,4.510000228881836,0.0,0.0
