Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1610059931.025995,1,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.0335257,2,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.0781097,3,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1094546,4,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1159565,5,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1159737,6,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1194053,7,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1252806,8,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1291184,9,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1330624,10,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1358302,11,0,0,,-0.13332367474172951,0.5158731751697531,0.39199986542548215,0.7499571790442722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610059931.1448617,12,0,0,,0.32581160177745605,0.5335700988052225,0.22164420361839274,0.748347243470945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.95,-137.29,-34.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,-0.0956,1.3036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
