Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1610059930.968614,2257,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059930.983421,2258,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059930.9954627,2259,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0028207,2888,1608659050,645674651,,0,0,48.4575272,7.9420575,165.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.007424,2889,1608659050,645674651,,0,0,48.4575272,7.9420575,165.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0109608,2260,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0256364,2890,1608659050,645674651,,0,0,48.4575272,7.9420575,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.028914,2261,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0358963,2891,1608659050,645674651,,0,0,48.4575272,7.9420575,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0424566,2892,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0458744,2262,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0460181,2263,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.056669,2893,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0570252,2894,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0575693,2264,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0694542,2265,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0768578,2895,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0771146,2896,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0782838,2897,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.085162,2266,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.0998085,2267,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1090474,2898,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1143746,2268,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1159053,2899,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.116562,2900,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1196854,2901,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.126476,2269,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1289523,2902,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1290207,2903,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1331427,2904,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1355913,2905,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1406226,2270,1608659006,0,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1610059931.1450315,2906,1608659050,745634240,,0,0,48.4575271,7.9420578,165.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
